j ai ans .	i m .
elle dort sur le ventre .	she sleeps on her stomach .
elle dormit quelques heures .	she slept for a few hours .
elle parle assez vite .	she speaks fairly quickly .
elle est maintenant a l hopital .	she s in the hospital now .
elle est actuellement a l hopital .	she s in the hospital now .
elle est enceinte de jumeaux .	she s pregnant with twins .
elle est belle et intelligente .	she s smart and beautiful .
elle a tres peur des chiens .	she s very afraid of dogs .
elle a une peur bleue des chiens .	she s very afraid of dogs .
ils sont dingues de jazz .	they are crazy about jazz .
elles sont dingues de jazz .	they are crazy about jazz .
elles lisent son livre .	they are reading her book .
ils regardent un film .	they are watching a movie .
ils se detendirent sur la plage .	they relaxed on the beach .
elles se detendirent sur la plage .	they relaxed on the beach .
ils se sont detendus sur la plage .	they relaxed on the beach .
elles se sont detendues sur la plage .	they relaxed on the beach .
ils se reposent sur la banque alimentaire .	they rely on the foodbank .
ils s inquietent pour la paix .	they re anxious for peace .
elles s inquietent pour la paix .	they re anxious for peace .
ils vont pendre tom .	they re going to hang tom .
ils sont chanceux d etre en vie .	they re lucky to be alive .
elles ont de la chance d etre vivantes .	they re lucky to be alive .
elles sont chanceuses d etre en vie .	they re lucky to be alive .
ils ont de la chance d etre vivants .	they re lucky to be alive .
ce ne sont pas tous des criminels .	they re not all criminals .
ils sont sans consequence .	they re of no consequence .
ils sont jeunes et en bonne sante .	they re young and healthy .
elles sont jeunes et en bonne sante .	they re young and healthy .
nous sommes frere et s ur .	we are brother and sister .
nous n avons pas peur de la mort .	we aren t afraid of death .
nous n avons pas encore tres faim .	we aren t very hungry yet .
nous le considerons comme notre heros .	we regard him as our hero .
nous sommes presque a court de sucre .	we re almost out of sugar .
nous sommes desormais pour ainsi dire morts .	we re as good as dead now .
nous sommes desormais pour ainsi dire mortes .	we re as good as dead now .
nous avons une faim de loup .	we re as hungry as wolves .
nous sortons d ici .	we re getting out of here .
nous partons d ici .	we re getting out of here .
nous allons dans la mauvaise direction .	we re going the wrong way .
nous nous rendons au cinema .	we re going to the movies .
nous avons un probleme .	we re having some problem .
nous sommes la pour te proteger .	we re here to protect you .
nous sommes la pour vous proteger .	we re here to protect you .
nous sommes en retard a cause de vous .	we re late because of you .
nous sommes en retard a cause de toi .	we re late because of you .
nous ne sommes plus amis .	we re not friends anymore .
nous ne sommes plus amies .	we re not friends anymore .
nous n allons pas nous marier .	we re not getting married .
nous ne vivons pas ensemble .	we re not living together .
nous ne sommes pas vraiment freres .	we re not really brothers .
il ne faut pas nous deranger .	we re not to be disturbed .
nous sommes dos au mur .	we re up against the wall .
vous avez tous deux faux .	you are both in the wrong .
tu es facilement distrait .	you are easily distracted .
tu es dedans jusqu au cou .	you are in over your head .
vous etes en retard ce matin .	you are late this morning .
tu le sous estimes .	you are selling him short .
tu es tellement adorable !	you are such a sweetheart .
vous etes tellement adorable !	you are such a sweetheart .
tu es fatigue non ?	you are tired aren t you ?
vous etes fatigues pas vrai ?	you are tired aren t you ?
vous etes fatigue n est ce pas ?	you are tired aren t you ?
tu n es pas un espion si ?	you aren t a spy are you ?
vous n etes pas une espionne si ?	you aren t a spy are you ?
tu n es pas aussi petit que moi .	you aren t as short as me .
tu n es pas aussi petite que moi .	you aren t as short as me .
tu devrais vraiment le lire .	you really should read it .
tu me fais penser a quelqu un .	you remind me of somebody .
vous me rappelez quelqu un .	you remind me of somebody .
vous me faites penser a quelqu un .	you remind me of somebody .
tu es allemand n est ce pas ?	you re german aren t you ?
vous etes allemands n est ce pas ?	you re german aren t you ?
tu es un merveilleux ami .	you re a wonderful friend .
tu es une merveilleuse amie .	you re a wonderful friend .
vous etes un merveilleux ami .	you re a wonderful friend .
vous etes une merveilleuse amie .	you re a wonderful friend .
tu as peur pas vrai ?	you re afraid aren t you ?
vous avez peur pas vrai ?	you re afraid aren t you ?
tu te plains toujours .	you re always complaining .
vous vous plaignez toujours .	you re always complaining .
vous dites toujours ca .	you re always saying that .
tu dis toujours ca .	you re always saying that .
vous dites toujours cela .	you re always saying that .
tu dis toujours cela .	you re always saying that .
tu vas gagner aujourd hui .	you re going to win today .
vous allez gagner aujourd hui .	you re going to win today .
tu es au bon endroit .	you re in the right place .
tu n es pas encore adolescent .	you re not a teenager yet .
vous n etes pas encore adolescente .	you re not a teenager yet .
vous n etes pas encore adolescent .	you re not a teenager yet .
tu n es pas encore adolescente .	you re not a teenager yet .
t es pas aussi malin que moi .	you re not as smart as me .
tu n es pas aussi malin que moi .	you re not as smart as me .
vous n etes pas aussi malin que moi .	you re not as smart as me .
t es pas aussi maligne que moi .	you re not as smart as me .
tu n es pas aussi maligne que moi .	you re not as smart as me .
vous n etes pas aussi malins que moi .	you re not as smart as me .
vous n etes pas aussi malignes que moi .	you re not as smart as me .
vous n etes pas aussi maligne que moi .	you re not as smart as me .
tu n es pas rationnel .	you re not being rational .
tu n es pas rationnelle .	you re not being rational .
vous n etes pas rationnel .	you re not being rational .
vous n etes pas rationnels .	you re not being rational .
vous n etes pas rationnelle .	you re not being rational .
vous n etes pas rationnelles .	you re not being rational .
vous ne vous ennuyez pas si ?	you re not bored are you ?
tu n as pas totalement tort .	you re not entirely wrong .
tu n y vas pas si ?	you re not going are you ?
vous n y allez pas si ?	you re not going are you ?
vous n etes pas fatigue si ?	you re not tired are you ?
vous n etes pas fatiguee si ?	you re not tired are you ?
vous n etes pas fatiguees si ?	you re not tired are you ?
vous n etes pas fatigues si ?	you re not tired are you ?
tu n es pas fatigue si ?	you re not tired are you ?
tu n es pas fatiguee si ?	you re not tired are you ?
tu n es pas contrarie si ?	you re not upset are you ?
tu n es pas contrariee si ?	you re not upset are you ?
vous n etes pas contrarie si ?	you re not upset are you ?
vous n etes pas contrariee si ?	you re not upset are you ?
vous n etes pas contraries si ?	you re not upset are you ?
vous n etes pas contrariees si ?	you re not upset are you ?
vous n etes pas vous meme aujourd hui .	you re not yourself today .
tu n es pas toi meme aujourd hui .	you re not yourself today .
tu es sur la bonne pente .	you re on the right track .
vous etes sur la bonne piste .	you re on the right track .
tu racontes encore des mensonges .	you re telling lies again .
tu es trop ivre pour conduire .	you re too drunk to drive .
tu es trop stupide pour vivre .	you re too stupid to live .
vous etes trop stupide pour vivre .	you re too stupid to live .
tu es trop jeune pour te marier .	you re too young to marry .
tu es tres elegante .	you re very sophisticated .
tu es fort elegante .	you re very sophisticated .
tu es tres elegant .	you re very sophisticated .
tu es fort elegant .	you re very sophisticated .
vous etes tres elegante .	you re very sophisticated .
vous etes tres elegant .	you re very sophisticated .
vous etes tres elegantes .	you re very sophisticated .
vous etes tres elegants .	you re very sophisticated .
vous etes fort elegante .	you re very sophisticated .
vous etes fort elegant .	you re very sophisticated .
vous etes fort elegantes .	you re very sophisticated .
vous etes fort elegants .	you re very sophisticated .
vous etes fort raffine .	you re very sophisticated .
vous etes fort raffinee .	you re very sophisticated .
vous etes fort raffines .	you re very sophisticated .
vous etes fort raffinees .	you re very sophisticated .
vous etes tres raffine .	you re very sophisticated .
vous etes tres raffinee .	you re very sophisticated .
vous etes tres raffines .	you re very sophisticated .
vous etes tres raffinees .	you re very sophisticated .
tu es tres raffine .	you re very sophisticated .
tu es tres raffinee .	you re very sophisticated .
tu es fort raffine .	you re very sophisticated .
tu es fort raffinee .	you re very sophisticated .
vous etes fort comprehensif .	you re very understanding .
vous etes fort comprehensive .	you re very understanding .
vous etes fort comprehensifs .	you re very understanding .
vous etes fort comprehensives .	you re very understanding .
vous etes tres comprehensif .	you re very understanding .
vous etes tres comprehensive .	you re very understanding .
vous etes tres comprehensifs .	you re very understanding .
vous etes tres comprehensives .	you re very understanding .
tu es tres comprehensif .	you re very understanding .
